date,itemID,brand,feature_1,feature_2,feature_3,feature_4,feature_5,category,userID,order,label
2020-11-26,13526,1090,10,0,511,0,0,3898,33539,1,0
2020-11-25,13526,1090,10,0,511,0,0,3898,32226,1,0
2020-11-17,13526,1090,10,0,511,0,0,3898,18945,1,0
2020-08-31,13526,1090,10,0,511,0,0,3898,3559,1,0
2020-08-15,13526,1090,10,0,511,0,0,3898,10210,1,0
2020-10-18,13526,1090,10,0,511,0,0,3898,7271,1,1
2020-11-12,13526,1090,10,0,511,0,0,3898,33269,1,2
2020-08-09,16971,288,6,0,314,0,45,3898,17054,2,0
2020-09-14,16971,288,6,0,314,0,45,3898,17712,1,0
2020-09-11,16971,288,6,0,314,0,45,3898,6846,2,0
2020-08-28,16971,288,6,0,314,0,45,3898,30633,1,0
2020-09-14,16971,288,6,0,314,0,45,3898,33185,1,0
2020-07-17,16971,288,6,0,314,0,45,3898,35003,1,4
2020-07-26,16971,288,6,0,314,0,45,3898,18971,1,1
2020-08-17,16971,288,6,0,314,0,45,3898,29778,1,3
2020-09-14,16971,288,6,0,314,0,45,3898,29778,1,4
2020-10-03,16971,288,6,0,314,0,45,3898,29778,2,3
2020-11-25,16971,288,6,0,314,0,45,3898,45600,1,2
2020-08-01,12775,322,1,0,536,0,78,3898,17297,1,0
2020-10-05,8285,734,10,0,510,3,132,3898,36247,1,0
2020-09-28,8285,734,10,0,510,3,132,3898,7038,1,0
2020-06-22,18912,703,4,0,335,0,89,3898,36906,1,3
2020-06-20,19652,703,4,0,335,0,89,3898,19094,3,3
2020-06-30,19652,703,4,0,335,0,89,3898,33005,1,4
2020-07-08,19652,703,4,0,335,0,89,3898,15735,1,4
2020-07-13,19652,703,4,0,335,0,89,3898,6581,2,4
2020-07-18,19652,703,4,0,335,0,89,3898,19094,3,4
2020-07-23,19652,703,4,0,335,0,89,3898,33005,1,4
2020-08-01,19652,703,4,0,335,0,89,3898,21454,1,3
2020-08-03,19652,703,4,0,335,0,89,3898,19094,3,3
2020-08-05,19652,703,4,0,335,0,89,3898,2224,4,4
2020-08-09,19652,703,4,0,335,0,89,3898,21454,2,2
2020-08-11,19652,703,4,0,335,0,89,3898,18004,1,4
2020-08-18,19652,703,4,0,335,0,89,3898,19094,3,3
2020-08-19,19652,703,4,0,335,0,89,3898,33005,1,4
2020-08-20,19652,703,4,0,335,0,89,3898,7793,2,2
2020-08-26,19652,703,4,0,335,0,89,3898,2224,4,3
2020-08-27,19652,703,4,0,335,0,89,3898,23784,5,4
2020-08-30,19652,703,4,0,335,0,89,3898,19094,3,2
2020-09-13,19652,703,4,0,335,0,89,3898,33005,1,4
2020-09-14,19652,703,4,0,335,0,89,3898,23784,5,3
2020-09-24,19652,703,4,0,335,0,89,3898,21454,1,3
2020-09-26,19652,703,4,0,335,0,89,3898,19094,4,4
2020-10-17,19652,703,4,0,335,0,89,3898,41653,1,4
2020-10-24,19652,703,4,0,335,0,89,3898,19094,3,4
2020-11-15,19652,703,4,0,335,0,89,3898,21454,2,1
2020-11-30,19652,703,4,0,335,0,89,3898,18004,1,4
2020-09-26,3914,1201,4,0,39,0,151,3898,27989,1,0
2020-09-08,3914,1201,4,0,39,0,151,3898,43664,1,0
2020-07-07,3914,1201,4,0,39,0,151,3898,44515,1,0
2020-10-28,3914,1201,4,0,39,0,151,3898,7082,1,0
2020-11-07,3914,1201,4,0,39,0,151,3898,28368,1,4
2020-07-01,24190,1201,4,0,39,0,151,3898,41945,1,0
2020-08-25,24190,1201,4,0,39,0,151,3898,30095,1,0
2020-09-17,24190,1201,4,0,39,0,151,3898,16490,1,0
2020-07-12,24190,1201,4,0,39,0,151,3898,36592,1,2
2020-08-05,24190,1201,4,0,39,0,151,3898,13802,1,3
2020-09-20,24190,1201,4,0,39,0,151,3898,27833,1,4
2020-09-23,24190,1201,4,0,39,0,151,3898,30611,1,4
2020-11-16,24190,1201,4,0,39,0,151,3898,19604,1,4
2020-11-24,24190,1201,4,0,39,0,151,3898,1287,1,3
2020-06-04,20836,1023,10,0,522,0,39,3898,1447,1,0
2020-11-04,27772,238,6,0,394,3,33,3898,16553,3,2
2020-09-15,10963,454,10,0,62,3,141,3898,35443,1,0
2020-09-18,10963,454,10,0,62,3,141,3898,27390,2,3
2020-09-27,29149,1379,6,1,444,0,117,3898,5538,1,4
2020-10-21,29149,1379,6,1,444,0,117,3898,5538,1,4
2020-08-16,13653,238,6,0,9,3,33,3898,4280,1,0
2020-10-23,13653,238,6,0,9,3,33,3898,25995,1,3
2020-11-15,13653,238,6,0,9,3,33,3898,25995,1,4
2020-09-01,32346,361,10,1,243,3,45,3898,18629,3,4
2020-10-31,32346,361,10,1,243,3,45,3898,18629,2,3
2020-07-16,9206,1201,4,0,174,0,44,3898,17865,1,0
2020-09-21,9206,1201,4,0,174,0,44,3898,33485,1,0
